PCTPOV017_2018,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,Heart disease_Lower 95% CI,diabetes_Lower 95% CI,diabetes_Upper 95% CI,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,diabetes_prevalence
30.8,50.5,48.1,52.7,11.3,14.6,17.1,4.2,3.9,4.6,15.9
20.3,51.9,49.5,54.2,8.6,13.2,15.4,3.4,3.1,3.7,14.3
24.5,59.2,57.0,61.2,8.4,13.5,15.8,3.5,3.2,3.7,14.7
18.4,40.9,38.7,42.8,6.4,9.1,10.8,2.8,2.6,3.0,9.9
14.9,49.3,46.8,51.9,8.3,11.6,13.8,3.6,3.3,3.9,12.7
15.2,36.3,35.1,37.5,5.8,12.7,14.0,3.0,2.9,3.2,13.3
18.8,49.0,46.4,51.2,7.5,11.7,13.9,3.0,2.8,3.3,12.8
16.5,37.5,35.5,39.6,7.5,10.7,12.6,3.6,3.3,3.9,11.6
20.5,48.8,46.4,51.0,8.3,12.4,14.9,3.6,3.4,3.9,13.7
21.4,53.4,51.8,55.0,9.0,14.2,15.7,3.7,3.5,3.9,14.9
24.3,37.0,35.1,38.6,5.9,9.8,11.1,3.2,3.0,3.4,10.4
31.8,54.5,52.3,56.6,12.9,16.3,19.0,5.5,5.1,6.0,17.7
15.5,40.5,38.9,42.1,5.3,10.4,11.9,2.9,2.8,3.1,11.2
31.8,50.2,48.4,51.9,7.3,13.7,15.6,3.5,3.3,3.7,14.6
28.0,54.0,52.2,55.7,10.2,15.8,18.0,4.5,4.2,4.8,16.9
29.1,54.4,51.9,56.7,9.6,14.1,16.7,3.7,3.4,4.0,15.4
15.7,40.7,39.0,42.4,6.2,9.6,11.2,2.9,2.7,3.1,10.4
8.1,27.7,25.7,29.6,4.2,6.3,7.6,2.3,2.1,2.5,6.9
16.2,48.2,45.9,50.3,7.8,11.7,13.7,3.2,2.9,3.4,12.7
18.6,46.5,44.3,48.6,8.0,12.0,14.1,3.4,3.2,3.7,13.1
23.2,35.7,33.8,37.4,6.5,9.6,11.2,3.2,3.0,3.5,10.3
18.2,47.1,44.7,49.2,8.5,12.4,14.6,3.5,3.3,3.8,13.5
20.9,49.8,47.9,51.8,8.7,13.0,14.8,3.5,3.3,3.8,13.9
17.6,46.6,44.6,48.4,6.2,9.8,11.4,3.0,2.8,3.3,10.6
